"Int_no","Rue_1","Rue_2","Arrondissement","X","Y"
1680,"Thimens","3000 garage STM","Saint-Laurent",286347.12,5040313
1681,"Cavendish (int. Nord)","Sortie A-40 dir. Ouest","Saint-Laurent",289339.97,5039354
1682,"Cavendish (int.Sud)","Sortie A-40 dir. Est","Saint-Laurent",289591.62,5039127.5
1683,"Chauveau","Dickson","Mercier - Hochelaga - Maisonneuve",301202.7,5048070.6
1684,"Elzéar-Soucy","Sauvé","Ahuntsic - Cartierville",291832.34,5043777.75
1685,"Côte-des-Neiges","Côte-Sainte-Catherine","Côte-des-Neiges - Notre-Dame-de-Grâce",294838.79,5039866.47
1686,"Normanville","Villeray","Villeray - Saint-Michel - Parc-Extension",295564.78,5045268.31
1687,"Bellechasse","Normanville","Rosemont - Petite-Patrie",297214.84,5044210.55
1688,"Gatineau","Queen-Mary","Côte-des-Neiges - Notre-Dame-de-Grâce",295540.78,5039532.68
1689,"Hickmore","4580 accès CN","Saint-Laurent",289580.78,5037046
1690,"Berri","Rachel","Plateau Mont-Royal",298764.1,5042545.58
1693,"Maurice-Duplessis","Rivière-des-Prairies","Rivières-des-Prairies - Pointe-aux-Trembles",300006.05,5056764.18
1696,"Beaver Hall","Belmont","Ville-Marie",299723.5,5040277.65
1697,"3 e Avenue","Masson","Rosemont - Petite-Patrie",298871.29,5045170.1
1698,"Henri-Julien","Rachel","Plateau Mont-Royal",298618.11,5042320.58
1699,"Marcel-Laurin","Galerie St-Laurent St-Exupéry","Saint-Laurent",289045.55,5042092.94
1700,"Molson","Rachel","Rosemont - Petite-Patrie",299988.58,5044617.88
1701,"Hochelaga","Vimont","Mercier - Hochelaga - Maisonneuve",301545.99,5047001.71
1703,"Henri-Bourassa","Léger","Montréal-Nord",293945.06,5051126.5
1706,"Christophe-Colomb","Mistral","Villeray - Saint-Michel - Parc-Extension",294876.95,5045482.24
1707,"Henri-Bourassa","6140 Wall-Mart","Montréal-Nord",295734.91,5052010.5
1708,"Chabot","Crémazie Est","Villeray - Saint-Michel - Parc-Extension",295461,5046143.5
1709,"Barnabé-Larocque","Papineau","Villeray - Saint-Michel - Parc-Extension",294943.71,5046291.63
1710,"Gouin","6750 Est","Montréal-Nord",295293.47,5054154.5
